_regardingobjectid_value,operation,createdon,auditid,_objectid_value,action,useradditionalinfo,objecttypecode,_callinguserid_value,additionalinfo,transactionid,versionnumber,_userid_value,changedata,attributemask,timetoliveinseconds
,4,2025-03-22T16:47:30Z,8b35eb1a-c653-4688-a56f-4638d8dae25b,2c50733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782588501690554,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 16:33:02,4",,-1
,4,2025-03-22T19:47:30Z,def9ca39-f056-4a30-ae34-264c96511259,9f64f0c5-c8de-ec11-bb3d-000d3ab95dd7,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782696503107325,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 14:59:08,4",,-1
,4,2025-03-22T22:23:41Z,644d0dd9-475d-411e-914c-b8673d210b1b,9050733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782790213420757,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 22:23:41,4",,-1
,2,2025-03-22T22:30:24Z,60a6c6a4-126a-41ae-af7c-245db01d0bd6,530eb279-59e0-ef11-a730-000d3ab83f62,2,,goal,,,a1e9fb38-6d07-f011-bae3-6045bddf6bfc,638782794248037047,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"{""changedAttributes"":[{""logicalName"":""lastrolledupdate"",""oldValue"":""03/21/2025 22:30:20"",""newValue"":""03/22/2025 22:30:22""}]}",131,-1
,2,2025-03-22T22:30:40Z,265cdefc-821c-47e6-8b66-6b839e991a52,5db57fe8-59e0-ef11-a730-000d3ab83f62,2,,goal,,,cf76f844-6d07-f011-bae3-6045bddf6bfc,638782794411152189,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"{""changedAttributes"":[{""logicalName"":""lastrolledupdate"",""oldValue"":""03/21/2025 22:30:31"",""newValue"":""03/22/2025 22:30:39""}]}",131,-1
,2,2025-03-22T22:30:53Z,3038570b-4349-41e3-8f8e-ef7e1638e0a4,54347f3b-5af6-ef11-bae2-7c1e52362954,2,,goal,,,1ad6f04a-6d07-f011-bae3-6045bddf6bfc,638782794535033175,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"{""changedAttributes"":[{""logicalName"":""computedtargetasoftodaypercentageachieved"",""oldValue"":""68.0000000000"",""newValue"":""71""},{""logicalName"":""lastrolledupdate"",""oldValue"":""03/21/2025 22:31:03"",""newValue"":""03/22/2025 22:30:52""}]}","256,131",-1
,2,2025-03-22T22:31:06Z,9a1e7025-01b4-4062-af67-012c4ccb80cd,1f928989-5af6-ef11-bae2-7c1e52362954,2,,goal,,,715cf956-6d07-f011-bae3-6045bddf6bfc,638782794666767802,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"{""changedAttributes"":[{""logicalName"":""computedtargetasoftodaypercentageachieved"",""oldValue"":""68.0000000000"",""newValue"":""71""},{""logicalName"":""lastrolledupdate"",""oldValue"":""03/21/2025 22:31:14"",""newValue"":""03/22/2025 22:31:04""}]}","256,131",-1
,4,2025-03-22T22:53:07Z,efd7c0c5-f838-4cf6-bf1d-12faaf356d7f,2c50733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782807876149837,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 22:53:07,4",,-1
,4,2025-03-22T22:55:30Z,a447011d-18f2-4149-a8e7-3f9a90d49080,7250733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782809305108581,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 22:55:30,4",,-1
,4,2025-03-22T23:07:46Z,b5b4a1f5-fa92-45ba-a58a-4ac1f7831d5c,2c50733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638782816661434301,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/22/2025 23:07:46,4",,-1
,4,2025-03-23T06:52:41Z,69169206-f830-4173-a81e-4ca8800fc030,04abe273-7eba-eb11-8235-000d3adda42c,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638783095619437397,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/23/2025 06:43:06,4",,-1
,4,2025-03-23T19:18:25Z,970317b9-1151-4be1-8f2f-c2c5927bb61f,7250733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638783543059917416,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/23/2025 19:18:25,4",,-1
,4,2025-03-23T19:21:33Z,7b11b376-3791-4fe0-a8a9-3dfb7e516cdc,7250733f-13aa-eb11-8236-0022489b4c66,64,,systemuser,,,00000000-0000-0000-0000-000000000000,638783544935105633,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"03/23/2025 19:21:33,4",,-1
,2,2025-03-23T22:30:23Z,d472e1fc-4ecd-4b81-b482-0099c3f87c44,3597b273-59e0-ef11-a730-000d3ab83f62,2,,goal,,,d5f08e64-3608-f011-bae3-000d3a69161a,638783658241097463,589a4bce-76ae-4beb-8bc4-a9d3f66826a0,"{""changedAttributes"":[{""logicalName"":""lastrolledupdate"",""oldValue"":""03/22/2025 22:30:00"",""newValue"":""03/23/2025 22:30:02""}]}",131,-1
