businessUnitId,businessUnitName,parentUnitId,parentUnitName
1fffd62c-58ab-ed11-aad0-000d3adc8967,India,,
839bb2d6-53bd-eb11-bacc-000d3ade3348,United Arab Emirates,,
dda1b8e2-53bd-eb11-bacc-000d3ade3348,Kingdom of Saudi Arabia,,
5609c1ee-53bd-eb11-bacc-000d3ade3348,Qatar,,
5e79c0f4-53bd-eb11-bacc-000d3ade3348,Kuwait,,
7ac0f6fa-53bd-eb11-bacc-000d3ade3348,Bahrain,,
1159fd00-54bd-eb11-bacc-000d3ade3348,Oman,,
42cd56c8-00aa-eb11-8236-0022489b4c66,pcsuat1,,
7f2af783-8a66-ef11-bfe2-6045bddeadfa,Australia,,
9075ef89-8a66-ef11-bfe2-6045bddeadfa,Canada,,
1d13f68f-8a66-ef11-bfe2-6045bddeadfa,Other Middle East,,
